"【インタビューのポイント】
カスタマージャーニーをとにかく深ぼる！
　└「行動」＞「気持ち」＞「意識」の順に深ぼる！
サーマジェン（顔の皮膚を引き延ばす）",気になってるか（顔のもたつき、配布は痛い、小顔になれるやつで、比較。痛くない、高くない）→いいなってしラベて→背じゅつ調べて→クリニック（サーマジェンやってるクリニックで3つ値段、技術比較）,"・ビタミンC（サプリ。初回が安い）
・グッドスプーン（見ていいな）
　┗冷凍食品のご飯
　┗

・好きなインスタの人がおすすめしてるからそんなに調べてない
┗シーちゃん

お得な情報ある。お金",下がガタついてた,"昔から。学生時代
┗

矯正はずっと","地元にいた時に、矯正やってた。

東京に来て、割とすぐコロナになって帰れなくなった。
マウスピース→2週間ずつ通院して、型作る。
自然と終わっちゃった。中途半端な感じ。
→マウスピース。


3年空いてた。
┗したいなぁと思ってた。高いしなぁ
┗70万くらいはする
┗インビザライン


インスタグラマーが紹介してた。","怪しい。
予約はすぐした。
┗怪しいけど行ってみるか

鏡見た時。
┗歯磨く時。フロス。

写真見た時
┗友達という",,,,"早く契約した方が、よかった。
それはいらないから考える時間くれ！！
2週間くらい。口コミ。
┗",Oh以外検討してない,,,,"シュミレーション
┗

通院しない
┗

LINEがあったから",,
